Measurement Values
 35.00	  3.46	 -2.34	  2.06	 -2.36	  0.51	 -0.46	  3.99	 -3.00	
 40.00	  4.76	  4.97	  3.39	  0.59	  1.03	 -1.30	  2.06	 -0.62	
 45.00	  2.71	  0.23	  2.92	 -0.89	  0.46	  4.37	  2.31	 -1.53	
 50.00	  1.84	 -2.08	 -1.48	  1.72	  1.89	 -0.22	  1.37	  0.34	
 55.00	 -3.03	 -0.72	 -3.11	 -0.14	  2.24	 -2.50	 -3.00	  1.57	
 60.00	 -3.18	 -3.16	 -1.75	  1.42	 -2.83	 -0.36	  1.72	  2.38	
 65.00	 -2.69	  0.29	  0.20	 -0.51	 -2.11	  2.05	  2.22	  2.42	
 70.00	  1.04	 -2.42	  0.22	  2.34	  3.75	 -1.21	 -1.38	  3.49	
 75.00	  3.00	  3.84	 -1.57	 -1.51	 -3.03	 -2.81	  1.67	 -1.94	
 80.00	 -2.08	 -2.09	  4.49	  0.06	 -0.74	 -0.96	 -0.56	 -0.35	
 85.00	 -2.54	 -3.19	  0.18	  3.47	  3.98	 -1.38	 -2.23	  3.46	
 90.00	  1.64	  4.21	  1.80	  3.45	 -3.44	 -2.43	  3.02	 -0.11	
 95.00	  2.33	  1.96	 -0.78	 -2.22	 -2.30	 -2.02	 -0.18	  3.28	
100.00	  2.96	  0.12	  0.09	  0.04	 -0.27	  3.64	 -3.53	 -1.21	



Absolute Percent Error
y/x	-10.00	 -5.00	  0.00	  5.00	 10.00	 15.00	 20.00	 25.00	
-15.00	  4.11	  1.46	  4.53	  5.10	  6.09	  0.27	  1.68	  2.65	
-10.00	  2.28	  0.00	  3.69	  6.10	  1.33	  1.01	  4.93	  0.76	
 -5.00	  1.45	  2.36	  4.65	  6.63	  3.85	  3.55	  3.10	  1.08	
  0.00	  0.32	  2.61	  1.39	  0.85	  2.69	  2.75	  0.75	  0.03	
  5.00	  3.67	  3.55	  8.90	  7.72	  1.24	  0.51	  0.63	  0.69	
 10.00	  0.15	  5.37	  4.56	  3.02	  4.31	  2.05	  0.62	  2.34	
 15.00	  4.13	  6.01	  3.02	  5.88	  0.30	  5.63	  0.63	  1.14	
 20.00	  3.58	  1.02	  1.80	  5.41	  0.51	  0.05	  2.63	  0.80	
 25.00	  2.20	  5.73	  2.48	  1.16	  1.79	  0.07	  0.66	  1.31	
 30.00	  3.52	  1.70	  2.71	  0.93	  0.43	  3.71	  2.70	  0.65	
 35.00	  3.72	  2.50	  2.20	  2.52	  0.55	  0.49	  4.30	  3.26	
 40.00	  5.17	  5.39	  3.67	  0.64	  1.12	  1.41	  2.24	  0.68	
 45.00	  2.97	  0.25	  3.19	  0.98	  0.51	  4.79	  2.54	  1.68	
 50.00	  2.04	  2.29	  1.63	  1.90	  2.09	  0.24	  1.52	  0.37	
 55.00	  3.39	  0.80	  3.46	  0.15	  2.49	  2.79	  3.35	  1.76	
 60.00	  3.58	  3.55	  1.97	  1.59	  3.18	  0.41	  1.93	  2.68	
 65.00	  3.04	  0.33	  0.23	  0.57	  2.39	  2.33	  2.52	  2.74	
 70.00	  1.18	  2.75	  0.25	  2.67	  4.28	  1.38	  1.57	  3.99	
 75.00	  3.44	  4.40	  1.80	  1.73	  3.48	  3.23	  1.92	  2.23	
 80.00	  2.40	  2.42	  5.18	  0.07	  0.86	  1.11	  0.65	  0.40	
 85.00	  2.95	  3.70	  0.20	  4.02	  4.62	  1.60	  2.59	  4.03	
 90.00	  1.92	  4.92	  2.10	  4.02	  4.01	  2.83	  3.53	  0.12	
 95.00	  2.74	  2.30	  0.91	  2.60	  2.70	  2.37	  0.21	  3.85	
100.00	  3.49	  0.14	  0.10	  0.05	  0.32	  4.30	  4.17	  1.43	



The Maximum Error is = 9.53 at x=0.0 y=5.0
The Minimum Error is = -7.56 at x=5.0 y=-5.0
The Average Error is = 0.39
The Average of the absolute error is = 2.26

